Variable name,Time in Play,Data Point
fRoomClicked,0:1.62,(1422.0, 412.0, 0.0)
fRoomClicked,0:2.12,(1425.0, 413.0, 0.0)
fRoomClicked,0:2.51,(1826.0, 418.0, 0.0)
collectionRoomClicked,0:4.81,(584.0, 681.0, 0.0)
fRoomClicked,0:5.56,(640.0, 912.0, 0.0)
fRoomClicked,0:5.82,(782.0, 761.0, 0.0)
fRoomClicked,0:6.03,(903.0, 563.0, 0.0)
fRoomClicked,0:6.21,(1060.0, 300.0, 0.0)
fRoomClicked,0:6.43,(1488.0, 262.0, 0.0)
fRoomClicked,0:6.78,(1466.0, 422.0, 0.0)
fRoomClicked,0:7.01,(1189.0, 455.0, 0.0)
waitingFishWaitTime,0:7.88,4.711544
waitingClickedPosition0,0:8.74,(-3.8, -0.7, 0.0)
waitingClickedVelocity0,0:8.74,(-0.2, 0.5)
waitingClickedPosition1,0:8.74,(-2.4, -0.6, 0.0)
waitingClickedVelocity1,0:8.74,(-0.5, 0.0)
waitingClickedPosition2,0:8.74,(-0.9, -1.8, 0.0)
waitingClickedVelocity2,0:8.74,(-0.5, -0.1)
waitingClickedPosition3,0:8.74,(-1.5, 2.2, 0.0)
waitingClickedVelocity3,0:8.74,(-0.2, -0.5)
waitingClickedPosition4,0:8.74,(-0.1, 2.1, 0.0)
waitingClickedVelocity4,0:8.74,(-0.4, -0.3)
waitingClickedPosition0,0:8.91,(-3.8, -0.6, 0.0)
waitingClickedVelocity0,0:8.91,(-0.2, 0.5)
waitingClickedPosition1,0:8.91,(-2.5, -0.6, 0.0)
waitingClickedVelocity1,0:8.91,(-0.5, 0.0)
waitingClickedPosition2,0:8.91,(-1.0, -1.8, 0.0)
waitingClickedVelocity2,0:8.91,(-0.5, -0.1)
waitingClickedPosition3,0:8.91,(-1.5, 2.1, 0.0)
waitingClickedVelocity3,0:8.91,(-0.2, -0.5)
waitingClickedPosition4,0:8.91,(-0.2, 2.1, 0.0)
waitingClickedVelocity4,0:8.91,(-0.4, -0.3)
waitingClickedPosition0,0:9.26,(-3.6, -0.5, 0.0)
waitingClickedVelocity0,0:9.26,(1.0, 0.1)
waitingClickedPosition1,0:9.26,(-2.7, -0.6, 0.0)
waitingClickedVelocity1,0:9.26,(-0.4, -0.2)
waitingClickedPosition2,0:9.26,(-1.2, -1.8, 0.0)
waitingClickedVelocity2,0:9.26,(-0.5, 0.0)
waitingClickedPosition3,0:9.26,(-1.6, 1.9, 0.0)
waitingClickedVelocity3,0:9.26,(-0.2, -0.5)
waitingClickedPosition4,0:9.26,(-0.4, 2.1, 0.0)
waitingClickedVelocity4,0:9.26,(-0.5, 0.1)
waitingClickedPosition0,0:9.44,(-3.4, -0.5, 0.0)
waitingClickedVelocity0,0:9.44,(1.0, 0.1)
waitingClickedPosition1,0:9.44,(-2.8, -0.7, 0.0)
waitingClickedVelocity1,0:9.44,(-0.4, -0.2)
waitingClickedPosition2,0:9.44,(-1.3, -1.8, 0.0)
waitingClickedVelocity2,0:9.44,(-0.5, 0.0)
waitingClickedPosition3,0:9.44,(-1.7, 1.9, 0.0)
waitingClickedVelocity3,0:9.44,(-0.2, -0.4)
waitingClickedPosition4,0:9.44,(-0.5, 2.1, 0.0)
waitingClickedVelocity4,0:9.44,(-0.5, 0.1)
waitingClickedPosition0,0:9.64,(-3.2, -0.5, 0.0)
waitingClickedVelocity0,0:9.64,(1.0, 0.1)
waitingClickedPosition1,0:9.64,(-2.9, -0.7, 0.0)
waitingClickedVelocity1,0:9.64,(-0.4, -0.2)
waitingClickedPosition2,0:9.64,(-1.4, -1.8, 0.0)
waitingClickedVelocity2,0:9.64,(-0.5, 0.0)
waitingClickedPosition3,0:9.64,(-1.7, 1.8, 0.0)
waitingClickedVelocity3,0:9.64,(-0.2, -0.4)
waitingClickedPosition4,0:9.64,(-0.6, 2.1, 0.0)
waitingClickedVelocity4,0:9.64,(-0.5, 0.1)
waitingClickedPosition0,0:9.83,(-3.0, -0.4, 0.0)
waitingClickedVelocity0,0:9.83,(1.0, 0.1)
waitingClickedPosition1,0:9.83,(-2.9, -0.7, 0.0)
waitingClickedVelocity1,0:9.83,(0.4, 0.2)
waitingClickedPosition2,0:9.83,(-1.5, -1.8, 0.0)
waitingClickedVelocity2,0:9.83,(-0.5, 0.0)
waitingClickedPosition3,0:9.83,(-1.7, 1.7, 0.0)
waitingClickedVelocity3,0:9.83,(-0.2, -0.4)
waitingClickedPosition4,0:9.83,(-0.6, 2.1, 0.0)
waitingClickedVelocity4,0:9.83,(-0.5, 0.1)
waitingClickedPosition0,0:10.05,(-2.8, -0.4, 0.0)
waitingClickedVelocity0,0:10.05,(1.0, 0.1)
waitingClickedPosition1,0:10.05,(-2.8, -0.7, 0.0)
waitingClickedVelocity1,0:10.05,(0.4, 0.2)
waitingClickedPosition2,0:10.05,(-1.6, -1.8, 0.0)
waitingClickedVelocity2,0:10.05,(-0.5, 0.0)
waitingClickedPosition3,0:10.05,(-1.8, 1.6, 0.0)
waitingClickedVelocity3,0:10.05,(-0.2, -0.4)
