Variable name,Time in Play,Data Point
fRoomClicked,0:4.62,(1433.0, 423.0, 0.0)
fRoomClicked,0:4.94,(1433.0, 411.0, 0.0)
fRoomClicked,0:10.50,(2534.0, 52.0, 0.0)
fRoomClicked,0:12.25,(26.0, 31.0, 0.0)
fRoomClicked,0:15.07,(15.0, 1419.0, 0.0)
fRoomClicked,0:17.30,(2544.0, 1421.0, 0.0)
fRoomClicked,0:26.83,(2499.0, 1321.0, 0.0)
fRoomClicked,0:31.21,(86.0, 1318.0, 0.0)
fRoomClicked,0:33.10,(106.0, 94.0, 0.0)
fRoomClicked,0:35.93,(2522.0, 76.0, 0.0)
fRoomClicked,0:41.46,(221.0, 261.0, 0.0)
systemRoomClicked,0:43.92,(1447.0, 406.0, 0.0)
systemRoomClicked,0:46.16,(980.0, 771.0, 0.0)
