Variable name,Time in Play,Data Point
collectionRoomClicked,0:5.12,(270.0, 330.0, 0.0)
fRoomClicked,0:10.31,(189.0, 218.0, 0.0)
mapRoomClicked,0:16.05,(623.0, 536.0, 0.0)
systemRoomClicked,0:33.68,(2088.0, 462.0, 0.0)
systemRoomClicked,0:35.23,(1420.0, 728.0, 0.0)
systemRoomClicked,0:36.23,(1200.0, 731.0, 0.0)
systemRoomClicked,0:37.67,(382.0, 426.0, 0.0)
mapRoomClicked,0:39.87,(621.0, 506.0, 0.0)
fRoomClicked,0:41.31,(281.0, 247.0, 0.0)
collectionRoomClicked,0:42.47,(335.0, 312.0, 0.0)
mapRoomClicked,0:43.74,(485.0, 438.0, 0.0)
fRoomClicked,0:44.94,(277.0, 300.0, 0.0)
systemRoomClicked,0:46.19,(334.0, 352.0, 0.0)
fRoomClicked,0:47.28,(188.0, 273.0, 0.0)
collectionRoomClicked,0:48.63,(283.0, 352.0, 0.0)
systemRoomClicked,0:52.21,(1029.0, 759.0, 0.0)
